trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.18947891466173294, 'e': 0.7833335182378832}",25,0,-140.5652734540352,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
148,False,"{'a': 0.18905119556678593, 'e': 0.7817700195941885}",25,8,-41.90610798613982,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
149,False,"{'a': 0.18862731254013418, 'e': 0.7802078844648193}",20,0,-145.6716621427841,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
150,False,"{'a': 0.18820720577620573, 'e': 0.7786471289230322}",20,0,-63.88965097411011,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
151,False,"{'a': 0.18779081679257492, 'e': 0.7770877687733903}",25,0,-98.15019257659644,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
152,False,"{'a': 0.18737808839215775, 'e': 0.7755298195566437}",20,6,-22.339014725980924,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.18696896462672785, 'e': 0.7739732965544921}",30,17,-80.94314373304321,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
154,False,"{'a': 0.18656339076169892, 'e': 0.7724182147942296}",25,12,-42.178769202060145,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.18616131324212123, 'e': 0.7708645890532775}",20,0,-29.645710464895203,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.1857626796598436, 'e': 0.7693124338636087}",25,0,-50.03756640608096,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
157,False,"{'a': 0.18536743872179293, 'e': 0.767761763516065}",20,0,-102.5052767385367,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
158,False,"{'a': 0.18497554021932686, 'e': 0.7662125920645732}",25,0,-32.73204886227051,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
159,False,"{'a': 0.18458693499861667, 'e': 0.7646649333302614}",30,15,-78.85343866101678,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
160,False,"{'a': 0.18420157493201936, 'e': 0.763118800905479}",20,12,9.598183444387594,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.18381941289040019, 'e': 0.7615742081577235}",20,5,-4.580283736589228,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.18344040271636816, 'e': 0.7600311682334756}",25,7,-99.06731983138359,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 1}",1
163,False,"{'a': 0.18306449919838924, 'e': 0.7584896940619487}",20,0,-62.803935559472485,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.1826916580457428, 'e': 0.7569497983587502}",20,3,-28.42998424947197,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.18232183586428963, 'e': 0.7554114936294625}",20,4,-36.44822388442264,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
